GEOID,income_2013,income_2023,income_2013_adj,absolute_change,percent_change,income_change_bin
11368,45964,71798,59753.200000000004,12044.799999999996,20.15758151864669,20–30% growth
11369,53617,80577,69702.1,10874.899999999994,15.601968950720268,10–20% growth
11370,52500,74895,68250,6645,9.736263736263737,0–10% growth
11371,NA,NA,NA,NA,NA,NA
11372,48683,77133,63287.9,13845.099999999999,21.876377633007255,20–30% growth
11373,47667,71470,61967.1,9502.900000000001,15.335395718050387,10–20% growth
11374,52532,86333,68291.6,18041.399999999994,26.418183202619343,20–30% growth
11375,72000,104319,93600,10719,11.451923076923078,10–20% growth
11377,49886,73292,64851.8,8440.199999999997,13.014596356616156,10–20% growth
11378,57474,84762,74716.2,10045.800000000003,13.445276927895158,10–20% growth
11379,69843,92509,90795.90000000001,1713.0999999999913,1.8867592038847474,0–10% growth
11385,50799,87365,66038.7,21326.300000000003,32.29363994142829,30–40% growth
11411,83099,118393,108028.7,10364.300000000003,9.59402455088324,0–10% growth
11412,70672,98418,91873.6,6544.399999999994,7.123265007575618,0–10% growth
11413,78667,114766,102267.1,12498.899999999994,12.221819138315249,10–20% growth
11414,66790,98209,86827,11382,13.108825595724833,10–20% growth
11415,63549,88632,82613.7,6018.300000000003,7.284869216606935,0–10% growth
11416,56724,85544,73741.2,11802.800000000003,16.005706443616326,10–20% growth
11417,62086,86330,80711.8,5618.199999999997,6.960816138408507,0–10% growth
11418,60691,84927,78898.3,6028.699999999997,7.6411025332611695,0–10% growth
11419,56735,91231,73755.5,17475.5,23.693826223129122,20–30% growth
11420,59832,98584,77781.6,20802.399999999994,26.74462854968269,20–30% growth
11421,60897,89439,79166.1,10272.899999999994,12.976387620458748,10–20% growth
11422,84824,108519,110271.2,-1752.199999999997,-1.5889915045814293,No growth or decline
11423,60892,80870,79159.6,1710.3999999999942,2.160698133896576,0–10% growth
11424,NA,NA,NA,NA,NA,NA
11426,82301,107591,106991.3,599.6999999999971,0.5605128641300714,0–10% growth
11427,70108,92129,91140.40000000001,988.5999999999913,1.0847000890933012,0–10% growth
11428,69330,84977,90129,-5152,-5.716251151127827,No growth or decline
11429,68890,98232,89557,8675,9.686568330783746,0–10% growth
11430,NA,NA,NA,NA,NA,NA
11432,50450,75395,65585,9810,14.957688495845087,10–20% growth
11433,42887,71177,55753.1,15423.900000000001,27.664650037397028,20–30% growth
11434,59229,76668,76997.7,-329.6999999999971,-0.4281946084103773,No growth or decline
11435,53041,79430,68953.3,10476.699999999997,15.193906600554282,10–20% growth
11436,62114,86104,80748.2,5355.800000000003,6.632717509492475,0–10% growth
11451,NA,NA,NA,NA,NA,NA
11501,79013,138323,102716.90000000001,35606.09999999999,34.66430548429712,30–40% growth
11507,90833,162991,118082.90000000001,44908.09999999999,38.03099348000429,30–40% growth
11509,109375,162500,142187.5,20312.5,14.285714285714285,10–20% growth
11510,98798,141120,128437.40000000001,12682.599999999991,9.874538101830145,0–10% growth
11514,84651,136125,110046.3,26078.699999999997,23.697934414878098,20–30% growth
11516,85985,102083,111780.5,-9697.5,-8.675484543368476,No growth or decline
11518,92866,104955,120725.8,-15770.800000000003,-13.063322007391958,Decrease >10%
11520,67723,119407,88039.90000000001,31367.09999999999,35.62827763320948,30–40% growth
11530,135370,202841,175981,26860,15.263011347815958,10–20% growth
11542,67914,92284,88288.2,3995.800000000003,4.525859627900448,0–10% growth
11545,146083,164583,189907.9,-25324.899999999994,-13.335358876592283,Decrease >10%
11547,97212,123452,126375.6,-2923.600000000006,-2.3134212616992564,No growth or decline
11548,98375,107386,127887.5,-20501.5,-16.03088652135666,Decrease >10%
11549,NA,NA,NA,NA,NA,NA
11550,53669,86904,69769.7,17134.300000000003,24.55836846080749,20–30% growth
11552,98798,153192,128437.40000000001,24754.59999999999,19.2736695074799,10–20% growth
11553,75008,105994,97510.40000000001,8483.599999999991,8.70020018377526,0–10% growth
11554,92311,128770,120004.3,8765.699999999997,7.304488255837496,0–10% growth
11556,NA,NA,NA,NA,NA,NA
11557,115516,170048,150170.80000000002,19877.199999999983,13.236394825092482,10–20% growth
11558,77056,109443,100172.8,9270.199999999997,9.25420872731919,0–10% growth
11559,112862,156429,146720.6,9708.399999999994,6.61693041058992,0–10% growth
11560,99278,159545,129061.40000000001,30483.59999999999,23.619455545964936,20–30% growth
11561,91984,132903,119579.2,13323.800000000003,11.142238784002572,10–20% growth
11563,90896,138006,118164.8,19841.199999999997,16.79112561439616,10–20% growth
11565,117500,145290,152750,-7460,-4.88379705400982,No growth or decline
11566,126532,169868,164491.6,5376.399999999994,3.2684951693581885,0–10% growth
11568,192500,250001,250250,-249,-0.0995004995004995,No growth or decline
11569,108664,108371,141263.2,-32892.20000000001,-23.284337322105124,Decrease >10%
11570,104503,147784,135853.9,11930.100000000006,8.7815660794427,0–10% growth
11572,96563,144419,125531.90000000001,18887.09999999999,15.045657717281417,10–20% growth
11575,66922,133534,86998.6,46535.399999999994,53.489826273066456,Over 50% growth
11576,150161,232279,195209.30000000002,37069.69999999998,18.98972026435215,10–20% growth
11577,112552,183233,146317.6,36915.399999999994,25.229637446212887,20–30% growth
11579,100250,185650,130325,55325,42.45156339919432,40–50% growth
11580,88771,135385,115402.3,19982.699999999997,17.315686082513086,10–20% growth
11581,98113,138821,127546.90000000001,11274.099999999991,8.839179940868803,0–10% growth
11590,87894,149250,114262.2,34987.8,30.620625193633593,30–40% growth
11596,112596,162026,146374.80000000002,15651.199999999983,10.69255090357082,10–20% growth
11598,140917,181574,183192.1,-1618.1000000000058,-0.8832804471371888,No growth or decline
11691,39409,57027,51231.700000000004,5795.299999999996,11.311941629889297,10–20% growth
11692,43354,49507,56360.200000000004,-6853.200000000004,-12.159644571878744,Decrease >10%
11693,50570,67829,65741,2088,3.1761001505909556,0–10% growth
11694,76944,103792,100027.2,3764.800000000003,3.763776252859225,0–10% growth
11697,87636,134844,113926.8,20917.199999999997,18.36021024025953,10–20% growth
