Latitude,Longitude,Neighborhood,Full Address,ZIP Code
40.74459871,-73.99919863,Chelsea,"302 W 22nd St, New York, NY 10011, USA",10011
40.80519473,-73.9572203,Central Harlem,"355 W 116th St, New York, NY 10026, USA",10026
40.8019008,-73.95310131,Central Harlem,"1883 Adam Clayton Powell Jr Blvd, New York, NY 10026, USA",10026
40.8019008,-73.95310131,Central Harlem,"1883 Adam Clayton Powell Jr Blvd, New York, NY 10026, USA",10026
40.81159925,-73.95500009,West Harlem,"430 Martin Luther King Blvd, New York, NY 10027, USA",10027
40.71009921,-74.00130196,Civic Center,"341 Pearl St, PECK SLIP, NY 10038, USA",10038
40.71073462,-74.00832814,Financial District,"147 Fulton St, New York, NY 10038, USA",10038
40.73130036,-73.9891988,East Village,"60 3rd Ave, New York, NY 10003, USA",10003
40.79749876,-73.96829844,Bloomingdale,"842 Amsterdam Ave, New York, NY 10025, USA",10025
40.80708836,-73.94176992,East Harlem,"68 E 126th St, New York, NY 10035, USA",10035
40.74020012,-73.99960142,Chelsea,"212 W 16th St, New York, NY 10011, USA",10011
40.76509972,-73.98579772,Hell's Kitchen,"354 W 54th St, New York, NY 10019, USA",10019
40.73034066,-73.98628244,Ukrainian Village,"2nd Ave &, E 11th St, New York, NY 10003, USA",10003
40.76509972,-73.98579772,Hell's Kitchen,"354 W 54th St, New York, NY 10019, USA",10019
40.80483434,-73.96622204,Morningside Heights,"2864 Broadway, New York, NY 10025, USA",10025
40.79800067,-73.96299858,Manhattan Valley,"72 W 105th St, New York, NY 10025, USA",10025
40.73550415,-74.00837111,West Village,"717 Washington St, New York, NY 10014, USA",10014
40.71845637,-73.99480634,Little Italy,"Bowery/Grand St, New York, NY, USA",10002
40.82460081,-73.95069718,Hamilton Heights,"530 W 143rd St, New York, NY 10031, USA",10031
40.83819939,-73.94200255,Washington Heights,"Broadway/W 164 St, New York, NY 10032, USA",10032
40.72740368,-73.98484145,Ukrainian Village,"St Marks Pl/1 Av, New York, NY 10009, USA",10009
41.05857214,-73.54346743,Ridgeway-Bulls Head,"Washington Blvd and North St, Stamford, CT 06902, USA",06902
40.82919765,-73.94502834,Hamilton Heights,"1840 Amsterdam Ave, New York, NY 10031, USA",10031
40.82919765,-73.94502834,Hamilton Heights,"1840 Amsterdam Ave, New York, NY 10031, USA",10031
40.79749876,-73.96829844,Bloomingdale,"842 Amsterdam Ave, New York, NY 10025, USA",10025
40.82364798,-73.94383945,Central Harlem,"West 145th Street &, Edgecombe Ave, New York, NY 10039, USA",10039
40.75970188,-73.99180117,Hell's Kitchen,"9 Avenue & West 44 St, New York, NY 10036, USA",10036
40.75970188,-73.99180117,Hell's Kitchen,"9 Avenue & West 44 St, New York, NY 10036, USA",10036
40.67326432,-73.98289454,Park Slope,"310A 5th Ave, Brooklyn, NY 11215, USA",11215
40.8019008,-73.95310131,Central Harlem,"1883 Adam Clayton Powell Jr Blvd, New York, NY 10026, USA",10026
40.71850049,-74.00249715,Chinatown,"73 Walker St, New York, NY 10013, USA",10013
40.79749876,-73.96829844,Bloomingdale,"842 Amsterdam Ave, New York, NY 10025, USA",10025
40.73136167,-73.98256681,Gramercy Park,"1 Av, E 14 St, Avenue A, New York, NY 10009, USA",10009
40.79749876,-73.96829844,Bloomingdale,"842 Amsterdam Ave, New York, NY 10025, USA",10025
40.7662909,-73.93362877,Astoria,"Broadway/14 St, Queens, NY 11106, USA",11106
40.73136167,-73.98256681,Gramercy Park,"1 Av, E 14 St, Avenue A, New York, NY 10009, USA",10009
